店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
Grand Pyramid,050-5486-5365,,東京都,千代田区飯田橋,3-10-9,飯田橋アイガーデンテラス3F,https://gjwr900.gorp.jp/,True
旬魚と日本酒 焼き鳥 個室居酒屋 魚八 新橋店,050-5484-4772,,東京都,港区新橋,3-11-1,田島ビル4F,https://gj9r302.gorp.jp/,True
せきやん,050-5485-3587,,東京都,港区西麻布,4-11-28,1F,https://gj0v106.gorp.jp/,True
全席個室居酒屋 四季宴 池袋本店,050-5487-5532,,東京都,豊島区西池袋,3-29-4,ジェスト7ビル4F,https://gg8s415.gorp.jp/,True
全席個室居酒屋 3H食べ飲み放題 上野うまいもん横丁,050-5486-9203,,東京都,台東区上野,4-8-9,OAKビル3F,https://gjwa800.gorp.jp/,True
九十九 赤羽店,050-5486-6692,,東京都,北区赤羽,1-14-1,6F,https://gjwp000.gorp.jp/,True
【全席個室】47都道府県の日本酒と炉端焼き 煙屋 赤羽店,050-5486-1655,,東京都,北区赤羽,1-10-2,赤羽パレスビル3F,https://gj4r501.gorp.jp/,True
【個室完備】煮込みと藁焼き裏路地くろちゃん 池袋店,050-5486-9053,,東京都,豊島区西池袋,1-39-1,宮田ビル1F104,https://gjfw008.gorp.jp/,True
サミラキッチン,03-6809-6549,,東京都,港区芝,3-17-14,三田浜ビル2F,https://gjwm200.gorp.jp/,True
韓国ダイニング＆バーロイヤル,050-5487-3383,,東京都,港区東新橋,1-7-1,汐留メディアタワーB2,https://gjwx500.gorp.jp/,True
黒毛屋 下町の味,050-3773-4689,,東京都,台東区上野,6-9-11,5F,https://gjwd800.gorp.jp/,True
日本酒・海鮮居酒屋 魚吟商店 新橋本店,050-5487-2770,,東京都,港区新橋,2-2-7,1F,https://ggsz704.gorp.jp/,True
日本酒と魚と和牛 漁夜 新宿総本店,050-5489-2974,,東京都,新宿区歌舞伎町,1-12-3,,https://ge04006.gorp.jp/,True
【全席個室】市場直送 炭火とさかな 浜の家 赤羽店,050-5486-3374,,東京都,北区赤羽,1-10-2,赤羽パレスビル3F,https://gj4r500.gorp.jp/,True
食べ飲み放題 宴会居酒屋 アジアンコ 北品川,03-4363-1926,,東京都,品川区北品川,1-28-9,B1,https://gjsy801.gorp.jp/,True
【7／27 NEW OPEN】炭火焼鳥・肉野菜巻 鳥よい,050-5486-2180,,東京都,渋谷区恵比寿西,1-8-3,クオリア恵比寿ウエスト1F,https://gj7y303.gorp.jp/,True
ペルー料理 アルコイリス 五反田店,050-5486-5663,,東京都,品川区東五反田,1-15-5,2F,https://gjwp500.gorp.jp/,True
炭火ジンギスカン のんべえ,050-5484-9127,,東京都,豊島区池袋,2-43-7,ダイチツムラビル2F,https://gjwa400.gorp.jp/,True
個室居酒屋 串とメシにはサケキタル。錦糸町駅前店,03-6822-2611,,東京都,墨田区江東橋,3-13-6,日拓錦糸町南口駅前ビル3F,https://ghzm011.gorp.jp/,True
全席個室 鳥四季 新橋駅前店,050-5486-3475,,東京都,港区新橋,2-15-18,プラザT28F,https://gjwr400.gorp.jp/,True
和牛ビストロFLAME,050-5486-4543,,東京都,墨田区錦糸,3-3-10,松澤ビル3F,https://g746301.gorp.jp/,True
炭火焼 和牛 牛桜 上野御徒町本店,050-5485-1811,,東京都,文京区湯島,3-39-11,ライワビル6F,https://gjwb702.gorp.jp/,True
Eau de vie（オードヴィー）,050-5487-3685,,東京都,中央区東日本橋,2-16-10,ヴィップ東日本橋伊吹ビル2F,https://gjwp600.gorp.jp/,True
チーズタッカルビ×サムギョプサル マダン,050-5486-2891,,東京都,足立区梅島,3-29-6,1F,https://gjwy000.gorp.jp/,True
月夜つきよ居酒屋,050-5484-4779,,東京都,港区芝,5-24-11,,https://gjkz401.gorp.jp/,True
アジアンダイニング パラダイス 大久保,050-5486-9023,,東京都,新宿区百人町,1-20-7,1F,https://gjwu300.gorp.jp/,True
restaurant Kyou 響,050-5487-2039,,東京都,町田市原町田,3-3-1,オリンピア第一ビル2F,https://gjw0700.gorp.jp/,True
月島もんじゃ居酒屋こだま,03-5859-0229,,東京都,中央区月島,1-19-2,,https://ghvx101.gorp.jp/,True
タージクティ,050-5486-5934,,東京都,世田谷区玉川,2-2-1,二子玉川ライズバーズモール1F,https://gjws400.gorp.jp/,True
焼き鳥×刺身居酒屋 鮪 焼きうお 水道橋店,050-5487-0653,,東京都,千代田区神田三崎町,2-22-18,西山興業(株)新水道橋ビル6F,https://gh2x919.gorp.jp/,True
鉄板焼倶楽部エイジ,050-5486-2011,,東京都,墨田区錦糸,2-13-1,堀越第1ビルB1,https://gjd7402.gorp.jp/,True
いっき 有明 別邸,050-5485-0290,,東京都,江東区有明,3-7-26,有明フロンティアビルA棟2F,https://b193011.gorp.jp/,True
創作ペルー料理 しゃぼん,050-5487-6251,,東京都,台東区浅草,2-6-14,,https://gjwz200.gorp.jp/,True
炉端と牛タンと釜めしが旨い店 全席個室居酒屋 権兵衛 立川店,03-6821-9781,,東京都,立川市柴崎町,3-6-23,LX.BLD6F,https://gj13709.gorp.jp/,True
全席個室居酒屋 釜めしと炉端焼きと日本酒 稲ノ和 立川店,050-5492-5623,,東京都,立川市柴崎町,3-6-23,LX.BLD6F,https://gj13710.gorp.jp/,True
海鮮土鍋居酒屋 うに to いくら 渋谷道玄坂店,050-5486-8859,,東京都,渋谷区円山町,7-5,GPDogenzaka6F,https://gjfj601.gorp.jp/,True
個室居酒屋 本格焼鳥 ちゃんこ井筒 新橋3号店,090-8356-3866,,東京都,港区新橋,3-21-4,PELICANBLDG.2B1,https://gjwg701.gorp.jp/,True
六本木焼肉 きらく,03-6435-5959,,東京都,港区六本木,5-16-52,六本木フォーラムインペリアル六本木2号館2F,https://gjwy200.gorp.jp/,True
京出汁おでんと旬菜天ぷら 鳥居くぐり 新宿歌舞伎町 はなれ,050-5484-2735,,東京都,新宿区歌舞伎町,1-15-3,歌舞伎町輝ビル3F,https://gen4324.gorp.jp/,True
全席個室完備 博多串焼きなど和食居酒屋 食彩の房 秋葉原店,050-5487-2939,,東京都,千代田区神田佐久間町,1-15,7F,https://gh8e413.gorp.jp/,True
串焼きと野菜巻き 完全個室居酒屋 串治郎 錦糸町店,050-5489-4112,,東京都,墨田区江東橋,3-11-5,東州ビル2F,https://gg93510.gorp.jp/,True
地鶏とお酒×完全個室鳥雅 浜松町・大門店,050-5487-6742,,東京都,港区浜松町,2-1-6,6F,https://gg9t303.gorp.jp/,True
お席で吸える 鮮魚と日本酒魚ぽん大蔵 池袋本店,050-5494-1047,,東京都,豊島区西池袋,1-34-3,矢島ニューウェーブビル3F,https://gb2c700.gorp.jp/,True
食べ放題個室居酒屋 餃子のかっちゃん 錦糸町店,050-5487-0280,,東京都,墨田区江東橋,1-12-7,,https://gjx3200.gorp.jp/,True
個室居酒屋 まぐろ奉行とかに代官 有楽町店,050-5484-4345,,東京都,千代田区有楽町,2-3-6,2F,https://ggxm412.gorp.jp/,True
全席完全個室 京出汁おでん×鮮魚×炉端焼き 魚縁ほたる上野店,050-5494-4133,,東京都,台東区上野,7-3-2,TSDビル4F,https://ghvh801.gorp.jp/,True
全席個室 ウメ子の家 秋葉原駅前店,050-2018-8911,,東京都,千代田区神田佐久間町,1-16,ダイニングスクエア秋葉原ビル2F,https://umeko.dkdining.com/akihabara/,True
海鮮炉端焼きと季節の鮮魚完全個室居酒屋 月乃雅 上野店,050-5488-5609,,東京都,台東区上野,4-9-6,ナガフジビル別館3F,https://gcd1134.gorp.jp/,True
大崎キッチン‐OSAKI KITCHEN‐,050-2018-8959,,東京都,品川区大崎,1-5-1,大崎センタービル1F,https://kitchen.dkdining.com/osaki/,True
鮨と炉端 すご六 品川店,050-5489-4653,,東京都,港区港南,2-2-1,ミナトビル3F,https://gjfw004.gorp.jp/,True
